Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2012,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,US,PE,XX,1,,feet,,P,I
2012,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,US,SG,FR,330,,medicine,,T,I
2012,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,US,GT,,14,,bone carvings,,Q,I
2012,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,,5,,specimens,g,S,I
2012,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,IS,,1.1,,unspecified,kg,T,I
2012,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,1,,meat,,P,I
2012,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,CA,US,2,,hair,,P,I
2012,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,SE,,1,,meat,,P,I
2012,I,Bos mutus,Mammalia,Artiodactyla,Bovidae,Bos,US,CN,XX,5,,medicine,,P,I
2012,I,Bos mutus,Mammalia,Artiodactyla,Bovidae,Bos,US,HK,XX,8,,medicine,,P,I
2012,I,Capricornis milneedwardsii,Mammalia,Artiodactyla,Bovidae,Capricornis,US,KH,,6,,meat,,P,I
2012,I,Capricornis milneedwardsii,Mammalia,Artiodactyla,Bovidae,Capricornis,US,LA,,7,,horns,,P,I
2012,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,LA,,1,,horns,,M,I
2012,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,LA,,1,,horns,,P,I
2012,I,Pantholops hodgsonii,Mammalia,Artiodactyla,Bovidae,Pantholops,US,CH,XX,4,,garments,,L,I
2012,I,Pantholops hodgsonii,Mammalia,Artiodactyla,Bovidae,Pantholops,US,CH,XX,5,,garments,,S,I
